,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458553.37628,15.351,0.013,13.772,14.431,14.989,1.03,CV,na,20.29,60.0,1.0,19.1
1,2458553.37845,15.293,0.014,13.772,14.428,14.991,1.03,CV,na,20.21,60.0,1.0,19.2
2,2458553.38054,15.287,0.013,13.772,14.418,14.952,1.03,CV,na,20.26,60.0,1.0,19.3
3,2458553.38262,15.25,0.012,13.772,14.419,14.968,1.03,CV,na,20.28,60.0,1.0,19.3
4,2458553.38477,15.186,0.011,13.772,14.442,15.003,1.03,CV,na,20.33,60.0,1.0,19.4
5,2458553.38685,15.154,0.011,13.772,14.43,14.972,1.03,CV,na,20.35,60.0,1.0,19.4
6,2458553.389,15.221,0.011,13.772,14.421,15.018,1.03,CV,na,20.31,60.0,1.0,19.3
7,2458553.39108,15.235,0.011,13.772,14.406,14.931,1.03,CV,na,20.33,60.0,1.0,19.3
8,2458553.39316,15.241,0.012,13.772,14.426,14.996,1.03,CV,na,20.35,60.0,1.0,19.3
9,2458553.39531,15.272,0.012,13.772,14.451,15.003,1.03,CV,na,20.36,60.0,1.0,19.4
10,2458553.3974,15.355,0.013,13.772,14.444,15.025,1.03,CV,na,20.34,60.0,1.0,19.4
11,2458553.3995,15.356,0.014,13.772,14.411,14.967,1.03,CV,na,20.34,60.0,1.0,19.3
12,2458553.4017,15.373,0.013,13.772,14.43,14.954,1.03,CV,na,20.34,60.0,1.0,19.3
13,2458553.404,15.305,0.012,13.772,14.422,14.965,1.03,CV,na,20.36,60.0,1.0,19.1
14,2458553.4064,15.377,0.019,13.772,14.43,14.994,1.03,CV,na,20.32,60.0,1.0,18.9
15,2458553.40869,15.336,0.019,13.772,14.419,14.978,1.03,CV,na,20.34,60.0,1.0,18.8
16,2458553.41106,15.374,0.014,13.772,14.436,14.95,1.03,CV,na,20.33,60.0,1.0,19.3
17,2458553.41337,15.388,0.013,13.772,14.418,14.971,1.03,CV,na,20.34,60.0,1.0,19.2
18,2458553.41564,15.416,0.014,13.772,14.433,14.957,1.03,CV,na,20.33,60.0,1.0,19.3
19,2458553.41799,15.355,0.018,13.772,14.41,15.002,1.03,CV,na,20.35,60.0,1.0,18.8
20,2458553.42036,15.351,0.019,13.772,14.416,14.967,1.03,CV,na,20.36,60.0,1.0,18.8
21,2458553.42282,15.373,0.015,13.772,14.423,14.953,1.03,CV,na,20.35,60.0,1.0,19.2
22,2458553.42527,15.322,0.057,13.772,14.43,14.966,1.03,CV,na,20.33,60.0,1.0,19.2
23,2458553.42769,15.321,0.013,13.772,14.435,14.949,1.03,CV,na,20.31,60.0,1.0,19.3
24,2458553.43012,15.336,0.019,13.772,14.425,14.961,1.03,CV,na,20.34,60.0,1.0,18.8
25,2458553.43252,15.296,0.017,13.772,14.427,14.982,1.04,CV,na,20.36,60.0,1.0,18.8
26,2458553.43498,15.28,0.012,13.772,14.427,14.968,1.04,CV,na,20.38,60.0,1.0,19.3
27,2458553.43736,15.278,0.013,13.772,14.439,14.977,1.04,CV,na,20.37,60.0,1.0,19.2
28,2458553.43978,15.297,0.013,13.772,14.435,14.953,1.04,CV,na,20.37,60.0,1.0,18.7
29,2458553.44226,15.326,0.018,13.772,14.421,14.954,1.04,CV,na,20.37,60.0,1.0,18.8
30,2458553.44466,15.348,0.016,13.772,14.427,14.981,1.05,CV,na,20.39,60.0,1.0,18.8
31,2458553.44696,15.257,0.012,13.772,14.424,14.974,1.05,CV,na,20.4,60.0,1.0,19.2
32,2458553.44926,15.259,0.012,13.772,14.421,15.013,1.05,CV,na,20.4,60.0,1.0,19.2
33,2458553.4515,15.32,0.014,13.772,14.423,14.954,1.05,CV,na,20.36,60.0,1.0,19.1
34,2458553.45384,15.266,0.018,13.772,14.423,14.984,1.05,CV,na,20.36,60.0,1.0,18.8
35,2458553.45608,15.301,0.017,13.772,14.436,14.982,1.06,CV,na,20.35,60.0,1.0,18.7
36,2458553.45836,15.313,0.014,13.772,14.416,14.986,1.06,CV,na,20.29,60.0,1.0,19.0
37,2458553.46065,15.253,0.014,13.772,14.419,14.959,1.06,CV,na,20.28,60.0,1.0,19.1
38,2458553.46291,15.26,0.014,13.772,14.418,14.991,1.07,CV,na,20.26,60.0,1.0,19.1
39,2458553.4652,15.24,0.019,13.772,14.431,15.001,1.07,CV,na,20.27,60.0,1.0,18.7
40,2458553.46744,15.206,0.018,13.772,14.41,14.957,1.07,CV,na,20.25,60.0,1.0,18.6
41,2458553.46975,15.204,0.018,13.772,14.427,14.976,1.08,CV,na,20.21,60.0,1.0,19.0
42,2458553.47204,15.33,0.016,13.772,14.437,14.982,1.08,CV,na,20.16,60.0,1.0,18.9
43,2458553.47426,15.495,0.018,13.772,14.422,14.979,1.08,CV,na,20.11,60.0,1.0,18.9
44,2458553.47657,15.584,0.027,13.772,14.422,14.97,1.09,CV,na,20.06,60.0,1.0,18.4
