,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458552.40498,15.515,0.014,13.772,14.415,15.001,1.03,CV,na,20.56,60.0,1.0,18.9
1,2458552.40576,15.472,0.014,13.772,14.421,14.972,1.03,CV,na,20.52,60.0,1.0,18.8
2,2458552.40799,15.36,0.016,13.772,14.434,14.979,1.03,CV,na,20.54,60.0,1.0,19.0
3,2458552.40993,15.314,0.012,13.772,14.417,14.971,1.03,CV,na,20.57,60.0,1.0,19.0
4,2458552.41186,15.304,0.012,13.772,14.42,14.982,1.03,CV,na,20.55,60.0,1.0,19.3
5,2458552.4138,15.261,0.011,13.772,14.417,14.992,1.03,CV,na,20.58,60.0,1.0,19.4
6,2458552.4158,15.325,0.017,13.772,14.434,14.983,1.03,CV,na,20.55,60.0,1.0,19.0
7,2458552.41772,15.313,0.015,13.772,14.431,14.955,1.03,CV,na,20.52,60.0,1.0,19.0
8,2458552.4197,15.27,0.012,13.772,14.438,14.956,1.03,CV,na,20.56,60.0,1.0,19.0
9,2458552.42162,15.212,0.011,13.772,14.44,14.971,1.03,CV,na,20.57,60.0,1.0,19.0
10,2458552.42352,15.173,0.011,13.772,14.439,14.985,1.03,CV,na,20.56,60.0,1.0,19.2
11,2458552.42549,15.238,0.015,13.772,14.43,14.974,1.03,CV,na,20.53,60.0,1.0,18.9
12,2458552.42741,15.176,0.013,13.772,14.428,14.99,1.03,CV,na,20.54,60.0,1.0,18.9
13,2458552.42942,15.158,0.01,13.772,14.426,14.959,1.03,CV,na,20.55,60.0,1.0,19.2
14,2458552.43132,15.218,0.011,13.772,14.43,14.956,1.03,CV,na,20.53,60.0,1.0,19.2
15,2458552.43325,15.163,0.011,13.772,14.42,14.978,1.03,CV,na,20.52,60.0,1.0,19.2
16,2458552.43523,15.19,0.015,13.772,14.419,14.967,1.04,CV,na,20.56,60.0,1.0,19.0
17,2458552.43714,15.188,0.013,13.772,14.432,14.975,1.04,CV,na,20.57,60.0,1.0,19.0
18,2458552.43914,15.213,0.011,13.772,14.427,14.962,1.04,CV,na,20.57,60.0,1.0,19.2
19,2458552.44105,15.175,0.045,13.772,14.438,14.983,1.04,CV,na,20.57,60.0,1.0,19.4
20,2458552.44296,15.173,0.044,13.772,14.424,14.978,1.04,CV,na,20.52,60.0,1.0,19.3
21,2458552.44494,15.298,0.016,13.772,14.416,14.971,1.04,CV,na,20.53,60.0,1.0,19.0
22,2458552.44684,15.259,0.016,13.772,14.432,14.986,1.04,CV,na,20.52,60.0,1.0,19.0
23,2458552.44883,15.303,0.012,13.772,14.431,14.981,1.05,CV,na,20.56,60.0,1.0,19.4
24,2458552.45074,15.298,0.013,13.772,14.43,14.961,1.05,CV,na,20.55,60.0,1.0,19.3
25,2458552.45264,15.317,0.013,13.772,14.431,14.962,1.05,CV,na,20.56,60.0,1.0,19.3
26,2458552.45461,15.305,0.016,13.772,14.42,14.98,1.05,CV,na,20.57,60.0,1.0,19.0
27,2458552.45654,15.227,0.015,13.772,14.418,14.973,1.05,CV,na,20.58,60.0,1.0,19.0
28,2458552.45852,15.302,0.012,13.772,14.432,15.013,1.06,CV,na,20.55,60.0,1.0,19.3
29,2458552.46044,15.262,0.012,13.772,14.425,14.981,1.06,CV,na,20.5,60.0,1.0,19.2
30,2458552.46237,15.26,0.011,13.772,14.434,14.983,1.06,CV,na,20.56,60.0,1.0,19.3
31,2458552.46434,15.325,0.016,13.772,14.407,14.978,1.06,CV,na,20.54,60.0,1.0,19.0
32,2458552.46627,15.265,0.015,13.772,14.426,14.991,1.07,CV,na,20.58,60.0,1.0,19.0
33,2458552.46833,15.257,0.011,13.772,14.441,14.999,1.07,CV,na,20.59,60.0,1.0,19.1
34,2458552.47047,15.244,0.011,13.772,14.432,14.991,1.07,CV,na,20.55,60.0,1.0,19.3
35,2458552.47269,15.219,0.013,13.772,14.435,14.993,1.08,CV,na,20.52,60.0,1.0,19.3
36,2458552.47478,15.239,0.015,13.772,14.411,14.985,1.08,CV,na,20.52,60.0,1.0,19.0
37,2458552.47683,15.206,0.015,13.772,14.443,14.987,1.08,CV,na,20.48,60.0,1.0,18.9
38,2458552.47898,15.231,0.011,13.772,14.436,14.981,1.09,CV,na,20.46,60.0,1.0,19.3
39,2458552.48106,15.164,0.011,13.772,14.423,14.948,1.09,CV,na,20.45,60.0,1.0,19.3
40,2458552.48311,15.21,0.012,13.772,14.441,15.004,1.09,CV,na,20.43,60.0,1.0,19.2
41,2458552.48523,15.239,0.015,13.772,14.421,14.999,1.1,CV,na,20.44,60.0,1.0,18.9
42,2458552.48728,15.318,0.017,13.772,14.424,14.976,1.1,CV,na,20.43,60.0,1.0,18.9
43,2458552.48938,15.359,0.013,13.772,14.427,14.98,1.1,CV,na,20.46,60.0,1.0,19.4
44,2458552.49152,15.281,0.012,13.772,14.424,14.975,1.11,CV,na,20.44,60.0,1.0,19.3
45,2458552.49356,15.296,0.012,13.772,14.445,15.004,1.11,CV,na,20.46,60.0,1.0,19.2
46,2458552.49571,15.264,0.014,13.772,14.426,14.98,1.12,CV,na,20.48,60.0,1.0,18.9
47,2458552.49778,15.234,0.016,13.772,14.425,14.977,1.12,CV,na,20.45,60.0,1.0,18.9
48,2458552.49999,15.285,0.012,13.772,14.44,14.984,1.13,CV,na,20.44,60.0,1.0,19.3
49,2458552.50206,15.244,0.012,13.772,14.421,15.007,1.13,CV,na,20.42,60.0,1.0,19.3
50,2458552.50413,15.233,0.012,13.772,14.431,14.98,1.14,CV,na,20.41,60.0,1.0,19.2
51,2458552.50625,15.152,0.014,13.772,14.432,14.983,1.14,CV,na,20.41,60.0,1.0,18.9
52,2458552.50837,15.189,0.016,13.772,14.421,14.998,1.15,CV,na,20.39,60.0,1.0,18.9
53,2458552.51059,15.194,0.012,13.772,14.442,15.004,1.15,CV,na,20.39,60.0,1.0,19.3
54,2458552.51266,15.091,0.011,13.772,14.416,14.996,1.16,CV,na,20.35,60.0,1.0,19.3
55,2458552.5148,15.246,0.016,13.772,14.431,14.985,1.16,CV,na,20.37,60.0,1.0,19.3
56,2458552.51698,15.31,0.015,13.772,14.404,15.001,1.17,CV,na,20.31,60.0,1.0,18.8
57,2458552.51911,15.284,0.018,13.772,14.42,14.966,1.18,CV,na,20.36,60.0,1.0,18.1
58,2458552.52144,15.294,0.016,13.772,14.406,14.973,1.18,CV,na,20.33,60.0,1.0,18.3
59,2458552.5236,15.31,0.015,13.772,14.419,15.011,1.19,CV,na,20.33,60.0,1.0,19.0
60,2458552.52568,15.269,0.016,13.772,14.423,14.982,1.19,CV,na,20.33,60.0,1.0,18.8
61,2458552.52796,15.283,0.014,13.772,14.439,15.004,1.2,CV,na,20.28,60.0,1.0,18.8
62,2458552.53008,15.272,0.016,13.772,14.418,15.006,1.21,CV,na,20.22,60.0,1.0,18.8
63,2458552.53223,15.319,0.014,13.772,14.428,14.983,1.22,CV,na,20.19,60.0,1.0,19.1
64,2458552.53439,15.289,0.013,13.772,14.424,15.028,1.22,CV,na,20.19,60.0,1.0,19.1
65,2458552.53649,15.274,0.013,13.772,14.427,15.003,1.23,CV,na,20.19,60.0,1.0,19.1
66,2458552.53872,15.317,0.014,13.772,14.414,14.965,1.24,CV,na,20.17,60.0,1.0,18.8
67,2458552.54096,15.608,0.019,13.772,14.417,15.001,1.25,CV,na,20.16,60.0,1.0,18.8
68,2458552.54324,15.89,0.021,13.772,14.432,14.999,1.26,CV,na,20.15,60.0,1.0,19.0
69,2458552.54536,16.157,0.028,13.772,14.43,14.991,1.26,CV,na,20.11,60.0,1.0,19.1
70,2458552.54752,16.479,0.034,13.772,14.44,14.983,1.27,CV,na,20.14,60.0,1.0,19.2
71,2458552.54978,16.829,0.055,13.772,14.427,14.984,1.28,CV,na,20.09,60.0,1.0,18.7
72,2458552.55207,16.838,0.052,13.772,14.423,14.997,1.29,CV,na,20.07,60.0,1.0,18.9
73,2458552.55432,16.394,0.032,13.772,14.414,14.981,1.3,CV,na,20.09,60.0,1.0,19.2
74,2458552.55635,16.054,0.025,13.772,14.409,15.028,1.31,CV,na,20.09,60.0,1.0,19.1
75,2458552.55838,15.812,0.02,13.772,14.418,14.994,1.32,CV,na,20.14,60.0,1.0,19.2
76,2458552.56046,15.493,0.019,13.772,14.42,15.001,1.33,CV,na,20.05,60.0,1.0,19.0
77,2458552.5625,15.285,0.014,13.772,14.424,14.998,1.34,CV,na,20.04,60.0,1.0,19.0
78,2458552.5705,15.283,0.014,13.772,14.409,14.968,1.37,CV,na,20.11,60.0,1.0,18.8
79,2458552.57317,15.242,0.013,13.772,14.428,14.984,1.39,CV,na,20.12,60.0,1.0,19.2
