,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458541.44236,14.933,0.009,13.772,14.432,15.0,1.03,CV,na,20.73,60.0,1.0,19.3
1,2458541.44429,14.919,0.009,13.772,14.426,14.978,1.03,CV,na,20.69,60.0,1.0,18.8
2,2458541.44617,14.96,0.009,13.772,14.427,14.986,1.03,CV,na,20.67,60.0,1.0,18.8
3,2458541.44804,14.902,0.009,13.772,14.412,14.967,1.03,CV,na,20.6,60.0,1.0,19.3
4,2458541.44999,14.933,0.009,13.772,14.425,15.019,1.03,CV,na,20.64,60.0,1.0,19.0
5,2458541.45186,14.97,0.009,13.772,14.437,15.01,1.03,CV,na,20.6,60.0,1.0,19.0
6,2458541.45374,14.976,0.009,13.772,14.43,15.019,1.03,CV,na,20.61,60.0,1.0,19.3
7,2458541.45565,14.929,0.009,13.772,14.412,15.022,1.03,CV,na,20.61,60.0,1.0,19.4
8,2458541.45753,14.87,0.008,13.772,14.428,14.987,1.03,CV,na,20.62,60.0,1.0,19.4
9,2458541.4594,14.909,0.011,13.772,14.424,15.007,1.03,CV,na,20.62,60.0,1.0,19.4
10,2458541.46133,14.946,0.009,13.772,14.423,14.973,1.03,CV,na,20.67,60.0,1.0,19.0
11,2458541.46323,14.884,0.009,13.772,14.422,15.012,1.03,CV,na,20.64,60.0,1.0,18.7
12,2458541.4651,14.921,0.01,13.772,14.426,14.985,1.04,CV,na,20.63,60.0,1.0,18.8
13,2458541.46708,14.93,0.009,13.772,14.424,14.993,1.04,CV,na,20.7,60.0,1.0,19.0
14,2458541.4692,14.881,0.011,13.772,14.429,14.973,1.04,CV,na,20.72,60.0,1.0,18.6
15,2458541.47123,14.979,0.012,13.772,14.422,15.005,1.04,CV,na,20.73,60.0,1.0,19.4
16,2458541.47334,15.132,0.011,13.772,14.438,15.006,1.04,CV,na,20.75,60.0,1.0,18.8
17,2458541.47535,15.377,0.012,13.772,14.423,15.014,1.04,CV,na,20.68,60.0,1.0,18.8
18,2458541.47736,15.743,0.016,13.772,14.424,15.032,1.05,CV,na,20.67,60.0,1.0,18.9
19,2458541.4795,16.117,0.022,13.772,14.435,15.014,1.05,CV,na,20.64,60.0,1.0,18.7
20,2458541.48148,16.324,0.025,13.772,14.433,14.993,1.05,CV,na,20.64,60.0,1.0,18.8
21,2458541.4835,16.281,0.024,13.772,14.435,14.989,1.05,CV,na,20.65,60.0,1.0,18.9
22,2458541.48561,16.033,0.022,13.772,14.425,14.994,1.05,CV,na,20.59,60.0,1.0,18.7
23,2458541.4876,15.727,0.016,13.772,14.436,15.037,1.06,CV,na,20.6,60.0,1.0,18.7
24,2458541.48961,15.466,0.013,13.772,14.425,15.02,1.06,CV,na,20.63,60.0,1.0,19.0
25,2458541.49176,15.264,0.012,13.772,14.423,14.977,1.06,CV,na,20.69,60.0,1.0,18.7
