,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458554.28105,15.269,0.01,13.772,14.432,15.126,1.06,CV,na,18.38,60.0,1.0,19.5
1,2458554.28376,15.343,0.008,13.772,14.418,15.129,1.05,CV,na,18.7,60.0,1.0,19.7
2,2458554.28455,15.288,0.009,13.772,14.412,15.121,1.05,CV,na,18.57,60.0,1.0,19.6
3,2458554.28537,15.299,0.008,13.772,14.42,15.128,1.05,CV,na,18.7,60.0,1.0,19.6
4,2458554.28624,15.292,0.008,13.772,14.412,15.111,1.05,CV,na,18.76,60.0,1.0,19.6
5,2458554.28712,15.295,0.011,13.772,14.418,15.123,1.05,CV,na,18.24,60.0,1.0,19.3
6,2458554.28807,15.246,0.007,13.772,14.418,15.134,1.05,CV,na,18.94,60.0,1.0,19.7
7,2458554.2889,15.28,0.008,13.772,14.433,15.129,1.05,CV,na,18.85,60.0,1.0,19.7
8,2458554.29007,15.247,0.008,13.772,14.419,15.118,1.05,CV,na,18.97,60.0,1.0,19.8
9,2458554.29097,15.225,0.007,13.772,14.434,15.148,1.05,CV,na,19.04,60.0,1.0,19.8
10,2458554.29185,15.248,0.007,13.772,14.424,15.124,1.04,CV,na,19.11,60.0,1.0,19.9
11,2458554.2927,15.285,0.007,13.772,14.43,15.15,1.04,CV,na,19.05,60.0,1.0,19.7
12,2458554.29374,15.275,0.007,13.772,14.425,15.139,1.04,CV,na,19.18,60.0,1.0,19.9
13,2458554.29458,15.282,0.007,13.772,14.427,15.13,1.04,CV,na,19.16,60.0,1.0,19.8
14,2458554.29545,15.29,0.007,13.772,14.423,15.123,1.04,CV,na,19.19,60.0,1.0,19.9
15,2458554.2963,15.3,0.007,13.772,14.425,15.125,1.04,CV,na,19.12,60.0,1.0,19.9
16,2458554.29727,15.271,0.007,13.772,14.418,15.137,1.04,CV,na,19.2,60.0,1.0,20.0
17,2458554.29804,15.247,0.007,13.772,14.422,15.13,1.04,CV,na,19.18,60.0,1.0,20.0
18,2458554.29882,15.263,0.007,13.772,14.418,15.131,1.04,CV,na,19.21,60.0,1.0,20.0
19,2458554.29964,15.307,0.007,13.772,14.429,15.133,1.04,CV,na,19.16,60.0,1.0,19.9
20,2458554.30045,15.32,0.007,13.772,14.431,15.136,1.03,CV,na,19.22,60.0,1.0,20.0
21,2458554.30123,15.275,0.007,13.772,14.42,15.121,1.03,CV,na,19.21,60.0,1.0,19.9
22,2458554.30201,15.257,0.007,13.772,14.424,15.132,1.03,CV,na,19.22,60.0,1.0,19.9
23,2458554.3028,15.255,0.007,13.772,14.422,15.145,1.03,CV,na,19.26,60.0,1.0,19.9
24,2458554.30366,15.294,0.007,13.772,14.441,15.156,1.03,CV,na,19.1,60.0,1.0,19.7
25,2458554.30443,15.291,0.007,13.772,14.426,15.138,1.03,CV,na,19.25,60.0,1.0,20.0
26,2458554.30523,15.277,0.007,13.772,14.419,15.126,1.03,CV,na,19.21,60.0,1.0,19.9
27,2458554.306,15.289,0.007,13.772,14.423,15.139,1.03,CV,na,19.24,60.0,1.0,20.0
28,2458554.30679,15.318,0.007,13.772,14.422,15.129,1.03,CV,na,19.19,60.0,1.0,19.9
29,2458554.30758,15.282,0.007,13.772,14.417,15.13,1.03,CV,na,19.22,60.0,1.0,19.9
30,2458554.30836,15.272,0.007,13.772,14.418,15.15,1.03,CV,na,19.18,60.0,1.0,19.9
31,2458554.30916,15.248,0.007,13.772,14.419,15.127,1.03,CV,na,19.28,60.0,1.0,20.0
32,2458554.31,15.221,0.007,13.772,14.423,15.135,1.02,CV,na,19.24,60.0,1.0,20.0
33,2458554.31078,15.214,0.007,13.772,14.415,15.134,1.02,CV,na,19.26,60.0,1.0,20.0
34,2458554.31155,15.258,0.007,13.772,14.424,15.122,1.02,CV,na,19.22,60.0,1.0,20.0
35,2458554.31234,15.259,0.007,13.772,14.43,15.137,1.02,CV,na,19.24,60.0,1.0,19.9
36,2458554.31316,15.263,0.007,13.772,14.425,15.127,1.02,CV,na,19.24,60.0,1.0,19.9
37,2458554.31394,15.288,0.007,13.772,14.423,15.14,1.02,CV,na,19.26,60.0,1.0,19.9
38,2458554.31471,15.261,0.007,13.772,14.423,15.126,1.02,CV,na,19.27,60.0,1.0,19.9
39,2458554.31549,15.273,0.007,13.772,14.42,15.137,1.02,CV,na,19.25,60.0,1.0,19.8
40,2458554.31635,15.271,0.007,13.772,14.421,15.135,1.02,CV,na,19.31,60.0,1.0,20.0
41,2458554.31712,15.291,0.007,13.772,14.423,15.132,1.02,CV,na,19.25,60.0,1.0,19.9
42,2458554.31789,15.247,0.007,13.772,14.423,15.139,1.02,CV,na,19.27,60.0,1.0,19.9
43,2458554.31867,15.235,0.007,13.772,14.424,15.131,1.02,CV,na,19.17,60.0,1.0,19.7
44,2458554.31953,15.243,0.007,13.772,14.423,15.133,1.02,CV,na,19.27,60.0,1.0,19.9
45,2458554.3203,15.272,0.007,13.772,14.416,15.14,1.02,CV,na,19.17,60.0,1.0,19.8
46,2458554.3211,15.267,0.007,13.772,14.41,15.121,1.02,CV,na,19.21,60.0,1.0,19.8
47,2458554.3219,15.241,0.008,13.772,14.421,15.115,1.02,CV,na,19.2,60.0,1.0,19.8
48,2458554.32277,15.233,0.01,13.772,14.416,15.125,1.01,CV,na,19.1,60.0,1.0,19.6
49,2458554.32358,15.227,0.007,13.772,14.418,15.129,1.01,CV,na,19.19,60.0,1.0,19.8
50,2458554.32436,15.191,0.007,13.772,14.412,15.119,1.01,CV,na,19.12,60.0,1.0,19.8
51,2458554.32514,15.195,0.007,13.772,14.427,15.123,1.01,CV,na,19.16,60.0,1.0,19.8
52,2458554.32593,15.206,0.007,13.772,14.412,15.124,1.01,CV,na,18.97,60.0,1.0,19.7
