,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458543.43716,15.215,0.028,13.772,14.464,15.016,1.03,CV,na,19.25,60.0,1.0,18.1
1,2458543.43796,15.19,0.028,13.772,14.428,14.946,1.03,CV,na,19.18,60.0,1.0,17.7
2,2458543.44983,15.299,0.023,13.772,14.422,15.044,1.03,CV,na,19.69,60.0,1.0,18.5
3,2458543.45355,15.217,0.013,13.772,14.429,14.959,1.03,CV,na,20.32,60.0,1.0,19.1
4,2458543.45579,15.153,0.013,13.772,14.418,14.978,1.03,CV,na,20.4,60.0,1.0,19.2
5,2458543.45794,15.062,0.015,13.772,14.407,14.96,1.03,CV,na,20.38,60.0,1.0,19.1
6,2458543.4601,15.254,0.017,13.772,14.414,14.988,1.04,CV,na,20.41,60.0,1.0,19.1
7,2458543.46233,15.195,0.015,13.772,14.431,14.967,1.04,CV,na,20.48,60.0,1.0,19.2
8,2458543.46448,15.25,0.017,13.772,14.418,14.954,1.04,CV,na,20.42,60.0,1.0,19.2
9,2458543.46686,15.199,0.011,13.772,14.42,14.997,1.04,CV,na,20.56,60.0,1.0,19.3
10,2458543.46911,15.158,0.011,13.772,14.435,14.996,1.04,CV,na,20.46,60.0,1.0,19.2
11,2458543.47126,15.204,0.011,13.772,14.421,14.967,1.04,CV,na,20.47,60.0,1.0,19.2
12,2458543.47384,15.269,0.013,13.772,14.41,14.992,1.05,CV,na,20.55,60.0,1.0,19.2
13,2458543.47625,15.325,0.016,13.772,14.429,14.965,1.05,CV,na,20.4,60.0,1.0,19.2
14,2458543.47841,15.367,0.014,13.772,14.398,14.975,1.05,CV,na,20.47,60.0,1.0,19.2
15,2458543.4806,15.305,0.013,13.772,14.427,14.983,1.05,CV,na,20.5,60.0,1.0,19.2
16,2458543.48282,15.167,0.014,13.772,14.419,14.977,1.06,CV,na,20.38,60.0,1.0,18.7
17,2458543.48499,15.162,0.014,13.772,14.422,14.965,1.06,CV,na,20.44,60.0,1.0,19.2
18,2458543.48714,15.109,0.013,13.772,14.42,14.963,1.06,CV,na,20.42,60.0,1.0,19.1
19,2458543.48934,15.173,0.016,13.772,14.414,14.955,1.06,CV,na,20.3,60.0,1.0,19.0
20,2458543.49147,15.18,0.017,13.772,14.424,14.94,1.07,CV,na,20.26,60.0,1.0,19.0
21,2458543.4936,15.224,0.018,13.772,14.44,14.96,1.07,CV,na,20.12,60.0,1.0,18.9
22,2458543.49576,15.218,0.015,13.772,14.47,14.994,1.07,CV,na,20.24,60.0,1.0,19.1
23,2458543.49791,15.259,0.017,13.772,14.445,14.984,1.08,CV,na,20.05,60.0,1.0,18.8
24,2458543.50005,15.506,0.019,13.772,14.432,14.953,1.08,CV,na,20.25,60.0,1.0,19.0
25,2458543.50223,15.822,0.029,13.772,14.435,14.965,1.08,CV,na,20.22,60.0,1.0,17.0
26,2458543.50438,16.073,0.031,13.772,14.428,14.964,1.09,CV,na,20.22,60.0,1.0,17.2
27,2458543.5065,16.458,0.046,13.772,14.443,14.956,1.09,CV,na,19.95,60.0,1.0,18.8
28,2458543.5087,16.712,0.056,13.772,14.434,14.955,1.09,CV,na,19.93,60.0,1.0,19.0
29,2458543.51091,16.444,0.036,13.772,14.431,14.955,1.1,CV,na,20.22,60.0,1.0,19.1
30,2458543.5131,16.017,0.111,13.772,14.42,14.954,1.1,CV,na,20.16,60.0,1.0,19.1
31,2458543.51527,15.736,0.022,13.772,14.424,14.969,1.11,CV,na,20.05,60.0,1.0,19.0
32,2458543.51741,15.463,0.018,13.772,14.445,14.96,1.11,CV,na,20.19,60.0,1.0,19.1
33,2458543.51955,15.279,0.016,13.772,14.423,14.963,1.12,CV,na,20.12,60.0,1.0,19.1
34,2458543.52172,15.124,0.012,13.772,14.434,14.961,1.12,CV,na,20.17,60.0,1.0,19.1
35,2458543.52388,15.036,0.013,13.772,14.447,14.956,1.13,CV,na,20.15,60.0,1.0,19.1
