,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458545.54601,15.291,0.02,13.772,14.421,14.977,1.2,CV,na,19.67,60.0,1.0,18.4
1,2458545.54682,15.238,0.021,13.772,14.417,14.988,1.2,CV,na,19.68,60.0,1.0,18.0
2,2458545.54866,15.093,0.019,13.772,14.393,14.951,1.21,CV,na,19.54,60.0,1.0,18.6
3,2458545.55021,15.251,0.025,13.772,14.4,15.01,1.21,CV,na,19.49,60.0,1.0,18.0
4,2458545.55169,15.215,0.023,13.772,14.427,15.02,1.22,CV,na,19.5,60.0,1.0,17.9
5,2458545.55324,15.143,0.022,13.772,14.389,14.962,1.22,CV,na,19.49,60.0,1.0,18.1
6,2458545.55473,15.153,0.022,13.772,14.369,14.982,1.23,CV,na,19.51,60.0,1.0,18.2
7,2458545.55624,15.134,0.02,13.772,14.401,14.989,1.23,CV,na,19.54,60.0,1.0,18.2
8,2458545.55781,15.163,0.023,13.772,14.376,15.013,1.24,CV,na,19.42,60.0,1.0,18.0
9,2458545.55932,15.203,0.027,13.772,14.43,14.989,1.24,CV,na,19.32,60.0,1.0,17.9
10,2458545.56087,15.098,0.027,13.772,14.388,14.975,1.25,CV,na,19.22,60.0,1.0,17.9
11,2458545.56234,15.083,0.027,13.772,14.384,15.001,1.25,CV,na,19.15,60.0,1.0,17.9
12,2458545.56385,15.061,0.029,13.772,14.408,14.972,1.26,CV,na,19.07,60.0,1.0,17.7
13,2458545.56544,15.092,0.03,13.772,14.37,14.998,1.27,CV,na,19.1,60.0,1.0,17.8
14,2458545.56692,15.094,0.031,13.772,14.431,15.03,1.27,CV,na,19.11,60.0,1.0,17.5
15,2458545.56851,15.052,0.026,13.772,14.382,14.95,1.28,CV,na,19.07,60.0,1.0,18.1
16,2458545.57,15.027,0.029,13.772,14.371,14.949,1.29,CV,na,19.05,60.0,1.0,18.0
17,2458545.57148,15.071,0.03,13.772,14.351,14.934,1.29,CV,na,19.02,60.0,1.0,17.8
18,2458545.57304,15.124,0.03,13.772,14.371,14.981,1.3,CV,na,19.1,60.0,1.0,17.8
19,2458545.57454,15.106,0.029,13.772,14.44,14.991,1.3,CV,na,19.12,60.0,1.0,17.6
20,2458545.57609,15.088,0.026,13.772,14.39,14.959,1.31,CV,na,19.08,60.0,1.0,18.1
21,2458545.57757,15.045,0.026,13.772,14.403,15.008,1.32,CV,na,19.08,60.0,1.0,18.0
22,2458545.57905,15.091,0.029,13.772,14.37,15.003,1.33,CV,na,19.07,60.0,1.0,17.8
23,2458545.58059,15.097,0.028,13.772,14.394,14.996,1.33,CV,na,19.1,60.0,1.0,17.8
24,2458545.58207,15.117,0.029,13.772,14.407,14.944,1.34,CV,na,19.15,60.0,1.0,17.6
25,2458545.58362,15.081,0.026,13.772,14.408,14.965,1.35,CV,na,19.21,60.0,1.0,18.1
26,2458545.58514,15.085,0.027,13.772,14.378,14.974,1.35,CV,na,19.27,60.0,1.0,18.0
27,2458545.58663,15.08,0.025,13.772,14.384,14.94,1.36,CV,na,19.27,60.0,1.0,18.0
28,2458545.58817,15.089,0.023,13.772,14.401,14.997,1.37,CV,na,19.28,60.0,1.0,18.0
29,2458545.58969,15.023,0.022,13.772,14.393,14.999,1.38,CV,na,19.39,60.0,1.0,18.1
30,2458545.59188,15.075,0.018,13.772,14.413,14.956,1.39,CV,na,19.55,60.0,1.0,18.5
31,2458545.59372,15.071,0.019,13.772,14.379,14.97,1.4,CV,na,19.7,60.0,1.0,18.4
32,2458545.59521,15.038,0.016,13.772,14.38,14.965,1.41,CV,na,19.8,60.0,1.0,18.5
33,2458545.59677,15.145,0.016,13.772,14.422,14.983,1.41,CV,na,19.86,60.0,1.0,18.5
34,2458545.59826,15.142,0.015,13.772,14.438,15.004,1.42,CV,na,19.93,60.0,1.0,18.7
35,2458545.59981,15.066,0.016,13.772,14.389,14.96,1.43,CV,na,19.86,60.0,1.0,18.6
36,2458545.60131,15.111,0.015,13.772,14.413,14.977,1.44,CV,na,19.92,60.0,1.0,18.6
37,2458545.60281,15.252,0.017,13.772,14.396,14.963,1.45,CV,na,19.85,60.0,1.0,18.9
38,2458545.60435,15.297,0.016,13.772,14.399,14.981,1.46,CV,na,19.89,60.0,1.0,18.6
39,2458545.60515,15.261,0.017,13.772,14.415,14.967,1.46,CV,na,19.84,60.0,1.0,18.5
40,2458545.60594,15.271,0.017,13.772,14.4,14.978,1.47,CV,na,19.79,60.0,1.0,18.5
41,2458545.60672,15.326,0.019,13.772,14.436,14.984,1.47,CV,na,19.78,60.0,1.0,18.5
42,2458545.60756,15.261,0.017,13.772,14.443,14.987,1.48,CV,na,19.72,60.0,1.0,18.5
43,2458545.60836,15.288,0.018,13.772,14.42,14.979,1.48,CV,na,19.74,60.0,1.0,18.7
44,2458545.60916,15.273,0.017,13.772,14.423,15.015,1.49,CV,na,19.74,60.0,1.0,18.7
45,2458545.60995,15.27,0.017,13.772,14.406,14.985,1.49,CV,na,19.73,60.0,1.0,18.7
46,2458545.61294,15.309,0.016,13.772,14.413,14.993,1.51,CV,na,19.8,60.0,1.0,19.0
47,2458545.6138,15.274,0.018,13.772,14.404,14.976,1.52,CV,na,19.72,60.0,1.0,18.5
48,2458545.61458,15.239,0.018,13.772,14.403,15.012,1.52,CV,na,19.69,60.0,1.0,18.5
49,2458545.61538,15.191,0.018,13.772,14.417,15.018,1.53,CV,na,19.67,60.0,1.0,18.5
50,2458545.61618,15.159,0.017,13.772,14.417,14.972,1.53,CV,na,19.65,60.0,1.0,18.5
51,2458545.61697,15.157,0.017,13.772,14.443,14.978,1.54,CV,na,19.65,60.0,1.0,18.4
52,2458545.6178,15.219,0.018,13.772,14.424,14.999,1.54,CV,na,19.65,60.0,1.0,18.7
53,2458545.61859,15.213,0.018,13.772,14.411,14.975,1.55,CV,na,19.62,60.0,1.0,18.6
54,2458545.61936,15.24,0.017,13.772,14.406,14.988,1.55,CV,na,19.66,60.0,1.0,18.7
55,2458545.62015,15.244,0.017,13.772,14.407,14.972,1.56,CV,na,19.7,60.0,1.0,18.8
56,2458545.62094,15.212,0.016,13.772,14.385,14.962,1.57,CV,na,19.74,60.0,1.0,18.9
57,2458545.62177,15.239,0.016,13.772,14.418,14.999,1.57,CV,na,19.84,60.0,1.0,18.6
58,2458545.62255,15.255,0.016,13.772,14.427,14.98,1.58,CV,na,19.9,60.0,1.0,18.6
59,2458545.62333,15.24,0.016,13.772,14.409,14.988,1.58,CV,na,19.85,60.0,1.0,18.6
60,2458545.62411,15.254,0.017,13.772,14.381,14.94,1.59,CV,na,19.83,60.0,1.0,18.6
61,2458545.6249,15.27,0.015,13.772,14.407,14.987,1.59,CV,na,19.88,60.0,1.0,18.6
62,2458545.62572,15.24,0.015,13.772,14.413,14.979,1.6,CV,na,19.9,60.0,1.0,18.7
63,2458545.62649,15.217,0.014,13.772,14.423,14.997,1.61,CV,na,19.93,60.0,1.0,19.0
64,2458545.62728,15.181,0.014,13.772,14.445,14.981,1.61,CV,na,19.97,60.0,1.0,19.1
