,Date,Obj1,Err,Star1,Star2,Star3,Airm, Filter,Group,SkyBri.,Expo time,SnapShots,LimitingMagnitude
0,2458555.35279,15.916,0.039,13.772,14.424,14.836,1.01,CV,na,19.63,60.0,1.0,18.5
1,2458555.35354,16.075,0.046,13.772,14.456,14.841,1.01,CV,na,19.61,60.0,1.0,18.4
2,2458555.35431,16.21,0.05,13.772,14.435,14.835,1.01,CV,na,19.62,60.0,1.0,18.4
3,2458555.35507,16.326,0.054,13.772,14.45,14.803,1.01,CV,na,19.63,60.0,1.0,18.4
4,2458555.35583,16.223,0.051,13.772,14.444,14.847,1.01,CV,na,19.63,60.0,1.0,18.4
5,2458555.35661,16.074,0.046,13.772,14.474,14.855,1.01,CV,na,19.65,60.0,1.0,18.4
6,2458555.3574,16.191,0.049,13.772,14.465,14.837,1.0,CV,na,19.66,60.0,1.0,18.5
7,2458555.35816,16.066,0.046,13.772,14.451,14.817,1.0,CV,na,19.63,60.0,1.0,18.4
8,2458555.35892,15.96,0.041,13.772,14.467,14.86,1.0,CV,na,19.63,60.0,1.0,18.4
9,2458555.35968,15.811,0.037,13.772,14.448,14.818,1.0,CV,na,19.61,60.0,1.0,18.4
10,2458555.36043,15.784,0.036,13.772,14.443,14.854,1.0,CV,na,19.62,60.0,1.0,18.5
11,2458555.36172,15.546,0.03,13.772,14.464,14.845,1.0,CV,na,19.62,60.0,1.0,18.4
12,2458555.3627,15.492,0.029,13.772,14.455,14.84,1.0,CV,na,19.63,60.0,1.0,18.4
13,2458555.36346,15.357,0.027,13.772,14.451,14.835,1.0,CV,na,19.63,60.0,1.0,18.4
14,2458555.36421,15.272,0.025,13.772,14.461,14.835,1.0,CV,na,19.63,60.0,1.0,18.5
15,2458555.36498,15.219,0.024,13.772,14.432,14.84,1.0,CV,na,19.62,60.0,1.0,18.4
16,2458555.36573,15.127,0.022,13.772,14.457,14.84,1.0,CV,na,19.63,60.0,1.0,18.4
17,2458555.36648,15.123,0.021,13.772,14.448,14.819,1.0,CV,na,19.62,60.0,1.0,18.5
18,2458555.36723,15.033,0.022,13.772,14.449,14.84,1.0,CV,na,19.6,60.0,1.0,18.4
19,2458555.36799,14.94,0.02,13.772,14.436,14.83,1.0,CV,na,19.59,60.0,1.0,18.4
20,2458555.36875,14.886,0.019,13.772,14.429,14.82,1.0,CV,na,19.59,60.0,1.0,18.4
