,NAME,Date,Obj1,MAGERR,FILTER,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
0,BH Lyn,2458559.565960648,16.64,0.084,CV,NO,STD,000-BJZ-142,13.057,000-BJZ-143,13.796,1.031,,4145or,na
1,BH Lyn,2458559.5671643517,16.361,0.064,CV,NO,STD,000-BJZ-142,13.06,000-BJZ-143,13.770999999999999,1.03,,4145or,na
2,BH Lyn,2458559.568368056,16.262,0.057999999999999996,CV,NO,STD,000-BJZ-142,13.065999999999999,000-BJZ-143,13.805,1.0290000000000001,,4145or,na
3,BH Lyn,2458559.5695833326,16.075,0.05,CV,NO,STD,000-BJZ-142,13.07,000-BJZ-143,13.774000000000001,1.028,,4145or,na
4,BH Lyn,2458559.5707986117,15.763,0.038,CV,NO,STD,000-BJZ-142,13.067,000-BJZ-143,13.793,1.0270000000000001,,4145or,na
5,BH Lyn,2458559.5720023154,15.651,0.033,CV,NO,STD,000-BJZ-142,13.056,000-BJZ-143,13.799000000000001,1.026,,4145or,na
6,BH Lyn,2458559.5732175927,15.499,0.03,CV,NO,STD,000-BJZ-142,13.065,000-BJZ-143,13.777000000000001,1.025,,4145or,na
7,BH Lyn,2458559.5744212964,15.445,0.031,CV,NO,STD,000-BJZ-142,13.116,000-BJZ-143,13.847999999999999,1.024,,4145or,na
8,BH Lyn,2458559.575625,15.434000000000001,0.03,CV,NO,STD,000-BJZ-142,13.142999999999999,000-BJZ-143,13.857999999999999,1.023,,4145or,na
9,BH Lyn,2458559.576828704,15.334000000000001,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.064,000-BJZ-143,13.776,1.023,,4145or,na
10,BH Lyn,2458559.5780439815,15.300999999999998,0.024,CV,NO,STD,000-BJZ-142,13.059000000000001,000-BJZ-143,13.75,1.022,,4145or,na
11,BH Lyn,2458559.579259259,15.357999999999999,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.093,000-BJZ-143,13.822000000000001,1.021,,4145or,na
12,BH Lyn,2458559.580462963,15.370999999999999,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.065999999999999,000-BJZ-143,13.777999999999999,1.02,,4145or,na
13,BH Lyn,2458559.581678241,15.341,0.026000000000000002,CV,NO,STD,000-BJZ-142,13.055,000-BJZ-143,13.779000000000002,1.02,,4145or,na
14,BH Lyn,2458559.5828935183,15.33,0.025,CV,NO,STD,000-BJZ-142,13.062000000000001,000-BJZ-143,13.776,1.0190000000000001,,4145or,na
15,BH Lyn,2458559.5841087964,15.276,0.025,CV,NO,STD,000-BJZ-142,13.095999999999998,000-BJZ-143,13.8,1.018,,4145or,na
16,BH Lyn,2458559.5853125,15.387,0.028999999999999998,CV,NO,STD,000-BJZ-142,13.137,000-BJZ-143,13.838,1.018,,4145or,na
17,BH Lyn,2458559.5865277774,15.325,0.028999999999999998,CV,NO,STD,000-BJZ-142,13.148,000-BJZ-143,13.842,1.0170000000000001,,4145or,na
18,BH Lyn,2458559.587731481,15.449000000000002,0.035,CV,NO,STD,000-BJZ-142,13.254000000000001,000-BJZ-143,13.94,1.0170000000000001,,4145or,na
19,BH Lyn,2458559.5889351848,15.405999999999999,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.093,000-BJZ-143,13.790999999999999,1.016,,4145or,na
20,BH Lyn,2458559.590150463,15.405999999999999,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.073,000-BJZ-143,13.762,1.016,,4145or,na
21,BH Lyn,2458559.591365741,15.365,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.11,000-BJZ-143,13.835999999999999,1.015,,4145or,na
22,BH Lyn,2458559.5925694443,15.36,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.137,000-BJZ-143,13.866,1.015,,4145or,na
23,BH Lyn,2458559.593784722,15.339,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.125,000-BJZ-143,13.843,1.015,,4145or,na
24,BH Lyn,2458559.595,15.380999999999998,0.027999999999999997,CV,NO,STD,000-BJZ-142,13.114,000-BJZ-143,13.854000000000001,1.014,,4145or,na
25,BH Lyn,2458559.5962152774,15.302,0.025,CV,NO,STD,000-BJZ-142,13.094000000000001,000-BJZ-143,13.795,1.014,,4145or,na
26,BH Lyn,2458559.597430556,15.332,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.127,000-BJZ-143,13.812999999999999,1.014,,4145or,na
27,BH Lyn,2458559.5986458333,15.349,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.089,000-BJZ-143,13.780999999999999,1.013,,4145or,na
28,BH Lyn,2458559.599849537,15.315,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.128,000-BJZ-143,13.822000000000001,1.013,,4145or,na
29,BH Lyn,2458559.6010648147,15.366,0.026000000000000002,CV,NO,STD,000-BJZ-142,13.112,000-BJZ-143,13.802,1.013,,4145or,na
30,BH Lyn,2458559.6022800924,15.305,0.03,CV,NO,STD,000-BJZ-142,13.227,000-BJZ-143,13.929,1.013,,4145or,na
31,BH Lyn,2458559.603483796,15.324000000000002,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.128,000-BJZ-143,13.841,1.013,,4145or,na
32,BH Lyn,2458559.604699074,15.368,0.031,CV,NO,STD,000-BJZ-142,13.173,000-BJZ-143,13.927999999999999,1.012,,4145or,na
33,BH Lyn,2458559.605914352,15.280999999999999,0.03,CV,NO,STD,000-BJZ-142,13.287,000-BJZ-143,13.995,1.012,,4145or,na
34,BH Lyn,2458559.607118056,15.294,0.025,CV,NO,STD,000-BJZ-142,13.097999999999999,000-BJZ-143,13.835999999999999,1.012,,4145or,na
35,BH Lyn,2458559.60832176,15.282,0.026000000000000002,CV,NO,STD,000-BJZ-142,13.091,000-BJZ-143,13.792,1.012,,4145or,na
36,BH Lyn,2458559.609537037,15.265,0.027000000000000003,CV,NO,STD,000-BJZ-142,13.161,000-BJZ-143,13.873,1.012,,4145or,na
37,BH Lyn,2458559.610740741,15.282,0.03,CV,NO,STD,000-BJZ-142,13.295,000-BJZ-143,13.991,1.012,,4145or,na
